kanji 1	kanji 2	kanji 3	kanji 4	kana 1	kana 2	Part-of-Speech	meaning
黒番				くろばん		n	(go terminology)
形勢				けいせい		n	(go terminology)
桂馬	ケイマ			けいま		n	(go terminology)
ケイマカカリ	ケイマガカリ			けいまかかり	けいまがかり	n	(go terminology)
ケイマカケ	ケイマガケ			けいまかけ	けいまがけ	n	(go terminology)
桂馬ツギ	ケイマツギ			けいまつぎ		n	(go terminology)
ケイマツケ				けいまつけ		n	(go terminology)
ケイマワタリ				けいまわたり		n	(go terminology)
消し				けし		n	reduction
消す				けす		v	to reduce
下駄	ゲタ			げた		n	(go terminology)
間				けん		n	(go terminology)
見当				けんとう		n	(go terminology)
検討室				けんとうしつ		n	the room where professionals are analyzing an important game while it is being played
検討陣				けんとうじん		n	the professionals analysing an important game while it is being played
権利				けんり		n	right; privilege (to play a move or sequence of moves)
小				こ		n	(go terminology)
碁				ご		n	(go terminology)
碁石				ごいし		n	(go terminology)
劫	コウ			こう		n	(go terminology)
劫争い	コウ争い			こうあらそい		n	(go terminology)
劫材	コウ材			こうざい		n	(go terminology)
好手				こうしゅ		n	(go terminology)
巧手				こうしゅ		n	(go terminology)
劫立て	劫ダテ	コウ立て	コウダテ	こうだて		n	(go terminology)
劫取り	劫トリ	コウ取り	コウトリ	こうとり		n	(go terminology)
劫を解消する	コウを解消する			こうをかいしょうする		v	to resolve/finish a ko
互角				ごかく		n	(go terminology)
碁器				ごき		n	(go terminology)
碁笥				ごけ		n	(go terminology)
小桂馬	小ゲイマ			こげいま		n	(go terminology)
小ゲイマカカリ	小ゲイマガカリ			こげいまかかり	こげいまがかり	n	(go terminology)
小ゲイマシマリ	小ゲイマジマリ			こげいましまり	こげいまじまり	n	(go terminology)
小ゲイマスベリ	小ゲイマのスベリ			こげいますべり	こげいまのすべり	n	(go terminology)
五間ビラキ				ごけんびらき		n	(go terminology)
小ザル				こざる		n	(go terminology)
五子				ごし		n	five stones
コスミ				こすみ		n	(go terminology)
コスミカケ	コスミガケ			こすみかけ	こすみがけ	n	(go terminology)
コスミ出し				こすみだし		n	(go terminology)
コスミツケ				こすみつけ		n	(go terminology)
碁聖				ごせい		n	the Gosei title
五段				ごだん		n	5 dan
後手				ごて		n	(go terminology)
後手の先手				ごてのせんて		n	(go terminology)
諺				ことわざ		n	(go terminology)
小ナダレ				こなだれ		n	(go terminology)
五の五				ごのご		n	the 5-5 point
碁盤				ごばん		n	(go terminology)
細かい				こまかい		adj-i	(go terminology)
ごまかし手	ゴマカシ手			ごまかして		n	(go terminology)
コミ				こみ		n	(go terminology)
コミ出し				こみだし		n	komi
小目				こもく		n	(go terminology)
五目中手	五目ナカデ			ごもくなかで		n	(go terminology)
凝り形	コリ形			こりがたち		n	(go terminology)
殺す				ころす		v	(go terminology)
碁ワールド				ごワールド		n	Go World, monthly publication from Nihon Ki-in
根拠				こんきょ		n	(go terminology)
根本				こんぽん		n	base for making life for a group
下がり	サガリ			さがり		n	(go terminology)
裂かれ形				さかれがたち		n	divided shape, two groups having to make life on their own
作戦				さくせん		n	(go terminology)
サシ込み	サシコミ			さしこみ		n	(go terminology)
サバキ				さばき		n	(go terminology)
左辺				さへん		n	(go terminology)
左右同形	左右同型			さゆうどうけい		n	(go terminology)
ざる碁	ザル碁			ざるご		n	(go terminology)
サルスベリ				さるすべり		n	(go terminology)
三間高バサミ				さんげんたかばさみ		n	(go terminology)
三間トビ				さんげんとび		n	(go terminology)
三間バサミ				さんげんばさみ		n	(go terminology)
